COURSE_CODE	PREREQ_STRING	TOKENS	STATUS
CS 5780	CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110).	COURSE(CS 2800) AND LPAREN COURSE(BTRY 3080) OR COURSE(ECON 3130) OR COURSE(MATH 4710) OR COURSE(ENGRD 2700) RPAREN AND COURSE(MATH 2940) AND COURSE(MATH 1920) AND COURSE(CS 2110)	OK (manually corrected)
CS 5781	CS 2110, or equivalent programming experience.	COURSE(CS 2110) OR COURSE(Special requirement: programming experience)	OK
CS 5785	CS 2800 or equivalent and basic familiarity with Matlab or Python, or permission of instructor.	LPAREN COURSE(CS 2800) AND COURSE(Special requirement: familiarity with Matlab or Python) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CS 5787	CS 5785, ECE 5414, ORIE 5750.	COURSE(CS 5785) AND COURSE(ECE 5414) AND COURSE(ORIE 5750)	OK
CS 5820	CS 4820 or graduate level students.	COURSE(CS 4820) OR COURSE(Special requirement: graduate level students)	OK
CS 5830	CS 2800 or equivalent, CS 4810 or mathematical maturity, or permission of instructor.	LPAREN COURSE(CS 2800) OR COURSE(CS 4810) OR COURSE(Special requirement: mathematical maturity) RPAREN OR COURSE(Permission: permission of instructor)	OK
CZECH 1133	CZECH 1131 or permission of instructor.	LPAREN COURSE(CZECH 1131) RPAREN OR COURSE(Permission: permission of instructor)	OK
DEA 2201	DEA 1101 and DEA 1150 with minimum grades of B-, or permission of instructor.	LPAREN COURSE(DEA 1101) AND COURSE(DEA 1150) RPAREN OR COURSE(Permission: permission of instructor)	OK
DEA 2510	DEA 1101, DEA 1150/DEA 1140, and DEA 1500?.	COURSE(DEA 1101) AND LPAREN COURSE(DEA 1150) OR COURSE(DEA 1140) RPAREN AND COURSE(DEA 1500)	OK (manually corrected)
DEA 2730	DEA 1101, DEA 1150/DEA 1140, and DEA 1500.	COURSE(DEA 1101) AND LPAREN COURSE(DEA 1150) OR COURSE(DEA 1140) RPAREN AND COURSE(DEA 1500)	OK (manually corrected)
DEA 3301	DEA 1101 and DEA 1150 with minimum grades of B-, or permission of instructor.	LPAREN COURSE(DEA 1101) AND COURSE(DEA 1150) RPAREN OR COURSE(Permission: permission of instructor)	OK
DEA 4401	students must have completed two DEA studio courses, one at 2000 level and one at 3000 level, and DEA 3050 or receive permission of instructor.	COURSE(Special requirement: two DEA studio courses at 2000 and 3000 level) AND COURSE(DEA 3050)	OK (manually corrected)
DUTCH 2030	DUTCH 1220  or equivalent.	COURSE(DUTCH 1220)	OK
DUTCH 3020	DUTCH 2040  or equivalent.	COURSE(DUTCH 2040)	OK
EAS 2250	MATH 1110 or MATH 1910.	COURSE(MATH 1110) OR COURSE(MATH 1910)	OK
EAS 2680	basic college math.	COURSE(Special requirement: basic college math)	OK
EAS 3010	EAS 2250 and MATH 1110 or MATH 1910 and one course in chemistry (high school or college).	COURSE(EAS 2250) AND LPAREN COURSE(MATH 1110) OR COURSE(MATH 1910) RPAREN AND COURSE(Special requirement: chemistry course)	OK (manually corrected)
EAS 3030	CHEM 2070 or equivalent, MATH 1120, and a course in biology and/or geology.	COURSE(CHEM 2070) AND COURSE(MATH 1120) AND COURSE(Special requirement: biology or geology course)	OK (manually corrected)
EAS 3050	two semesters of calculus and one semester of physics.	COURSE(Special requirement: two semesters of calculus) AND COURSE(Special requirement: one semester of physics)	OK
EAS 3410	one year of calculus and one semester of physics.	COURSE(Special requirement: one year of calculus) AND COURSE(Special requirement: one semester of physics)	OK
EAS 3555	BIOEE 1610, BIOEE 1780.	COURSE(BIOEE 1610) AND COURSE(BIOEE 1780)	OK
EAS 4050	Recommended prerequisite: linear algebra equivalent to MATH 2940.	COURSE(MATH 2940)	OK (manually corrected)
EAS 4370	MATH 1920, PHYS 2208, PHYS 2213, or equivalent.	COURSE(MATH 1920) OR COURSE(PHYS 2208) OR COURSE(PHYS 2213)	OK
EAS 4470	one year each of calculus and physics.	COURSE(Special requirement: one year each of calculus) AND COURSE(Special requirement: physics)	OK
EAS 4510	EAS 3410 and EAS 3420 or equivalent.	COURSE(EAS 3410) AND COURSE(EAS 3420)	OK
EAS 4720	MATH 1920, PHYS 1112, and CS1110/CS1112 or EAS2900	COURSE(MATH 1920) AND COURSE(PHYS 1112) AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) OR COURSE(EAS 2900) RPAREN	OK (manually corrected)
EAS 4800	CHEM 2070 or CHEM 2090, MATH 1920, and PHYS 1112 or permission of instructor.	LPAREN LPAREN COURSE(CHEM 2070) OR COURSE(CHEM 2090) RPAREN AND COURSE(MATH 1920) AND COURSE(PHYS 1112) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
EAS 5011	EAS 2250, MATH 1110 or MATH 1910, one course in chemistry (high school or college).	COURSE(EAS 2250) AND LPAREN COURSE(MATH 1110) OR COURSE(MATH 1910) RPAREN	OK (manually corrected)
EAS 5051	two semesters of calculus and one semester of physics.	COURSE(Special requirement: two semesters of calculus) AND COURSE(Special requirement: one semester of physics)	OK
EAS 5750	PHYS 2214 or PHYS 2218, MATH 2930 or equivalent.	COURSE(PHYS 2214) OR COURSE(PHYS 2218) OR COURSE(MATH 2930)	OK
ECE 2100	MATH 1920 or PHYS 1112. Corequisite: MATH 2930 or PHYS 2213.	COURSE(MATH 1920) OR COURSE(PHYS 1112)	OK
ECE 2300	CS 1110 or CS 1112.	COURSE(CS 1110) OR COURSE(CS 1112)	OK
ECE 2720	MATH 1920 and either CS 1110 or CS 1112. Corequisite: MATH 2940.	COURSE(MATH 1920) AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN	OK (manually corrected)
ECE 3030	PHYS 2213, MATH 2930, ECE 2100/ENGRD 2100.	COURSE(PHYS 2213) AND COURSE(MATH 2930) AND LPAREN COURSE(ECE 2100) OR COURSE(ENGRD 2100) RPAREN	OK (manually corrected)
ECE 3250	MATH 2930, MATH 2940, or permission of instructor.	LPAREN COURSE(MATH 2930) OR COURSE(MATH 2940) RPAREN OR COURSE(Permission: permission of instructor)	OK
ECE 4060	PHYS 2214, MATH 2930, or permission of instructor.	LPAREN COURSE(PHYS 2214) OR COURSE(MATH 2930) RPAREN OR COURSE(Permission: permission of instructor)	OK
ECE 4110	ECE 2720, ECE 3100, and ECE 3250 or equivalents.	COURSE(ECE 2720) AND COURSE(ECE 3100) AND COURSE(ECE 3250)	OK
ECE 4330	ECE 3030 and ECE 3150.	COURSE(ECE 3030) AND COURSE(ECE 3150)	OK
ECE 4360	MSE 2620 or ECE 3150, or equivalent that covers basics on semiconductors and semiconductor devices, MATH 2930-MATH 2940, CHEM 2090.	LPAREN COURSE(MSE 2620) OR COURSE(ECE 3150) RPAREN AND COURSE(MATH 2930) AND COURSE(MATH 2940) AND COURSE(CHEM 2090)	OK (manually corrected)
ECE 4361	Prerequisite or corequisite: ECE 4360/MSE 5410, AEP 6620 or equivalents.	COURSE(ECE 4360) OR COURSE(MSE 5410) OR COURSE(AEP 6620)	OK
ECE 4450	ECE 3100.	COURSE(ECE 3100)	OK
ECE 4510	ECE 3250.	COURSE(ECE 3250)	OK
ECE 4530	ECE 3150.	COURSE(ECE 3150)	OK
ECE 4560	ECE 3150 or permission of instructor required.	LPAREN COURSE(ECE 3150) RPAREN OR COURSE(Permission: permission of instructor required)	OK
ECE 4750	ECE 3140/CS 3420 or CS 3410. Students should feel comfortable working with a hardware description language such as Verilog, SystemVerilog, or VHDL.	COURSE(ECE 3140) OR COURSE(CS 3420) OR COURSE(CS 3410)	OK
ECE 4760	ECE 3140/CS 3420.	COURSE(ECE 3140) OR COURSE(CS 3420)	OK
ECE 4770	CS 1112, CS 2110, CS 2800, MATH 1920, MATH 2940 or their equivalents.	COURSE(CS 1112) OR COURSE(CS 2110) OR COURSE(CS 2800) OR COURSE(MATH 1920) OR COURSE(MATH 2940)	OK
ECE 4800	MATH 1920, MATH 2940. Highly recommended corequisite: ECE 3250.	COURSE(MATH 1920) AND COURSE(MATH 2940)	OK
ECE 4920	ECE 4760 or ECE 5760.	COURSE(ECE 4760) OR COURSE(ECE 5760)	OK
ECE 5110	ECE 2720, ECE 3100, and ECE 3250 or equivalents.	COURSE(ECE 2720) AND COURSE(ECE 3100) AND COURSE(ECE 3250)	OK
ECE 5120	Prerequisite or corequisite: enrollment in group-based project with strong system design component approved by course instructor.	COURSE(Special requirement: enrollment in group-based project with strong system design component approved by course instructor)	OK
ECE 5235	coursework in ML, data science, law and policy or ethics, calculus and algebra, algorithms, and python programming. Recommended prerequisite: coursework in theory and optimization.	COURSE(Special requirement: coursework in ML/data science/law/policy/ethics) AND COURSE(Special requirement: calculus/algebra/algorithms/python)	OK (manually corrected)
ECE 5280	ECE 3250, MATH 1920, MATH 2940.	COURSE(ECE 3250) AND COURSE(MATH 1920) AND COURSE(MATH 2940)	OK
ECE 5330	PHYS 2214, MATH 2930, or permission of instructor.	LPAREN COURSE(PHYS 2214) OR COURSE(MATH 2930) RPAREN OR COURSE(Permission: permission of instructor)	OK
ECE 5413	CS 1110 or equivalent.	COURSE(CS 1110)	OK
ECE 5414	CS 2800 or equivalent and basic familiarity with Matlab or Python, or permission of instructor.	LPAREN COURSE(CS 2800) AND COURSE(Special requirement: familiarity with Matlab or Python) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
ECE 5510	ECE 3250.	COURSE(ECE 3250)	OK
ECE 5530	ECE 3150.	COURSE(ECE 3150)	OK
ECE 5560	ECE 3150 or permission of instructor required.	LPAREN COURSE(ECE 3150) RPAREN OR COURSE(Permission: permission of instructor required)	OK
ECE 5570	ECE 3030 and ECE 3150.	COURSE(ECE 3030) AND COURSE(ECE 3150)	OK
ECE 5660	ECE 3100.	COURSE(ECE 3100)	OK
ECE 5725	ECE 3140/CS 3420.	COURSE(ECE 3140) OR COURSE(CS 3420)	OK
ECE 5730	ECE 3140/CS 3420.	COURSE(ECE 3140) OR COURSE(CS 3420)	OK
ECE 5740	ECE 3140/CS 3420 or CS 3410. Students should feel comfortable working with a hardware description language such as Verilog, SystemVerilog, or VHDL.	COURSE(ECE 3140) OR COURSE(CS 3420) OR COURSE(CS 3410)	OK
ECON 2100	ECON 1110.	COURSE(ECON 1110)	OK
ECON 3030	ECON 1110, ECON 1120 and calculus.	COURSE(ECON 1110) AND COURSE(ECON 1120) AND COURSE(Special requirement: calculus)	OK
ECON 3040	ECON 1110, ECON 1120 and calculus.	COURSE(ECON 1110) AND COURSE(ECON 1120) AND COURSE(Special requirement: calculus)	OK
ECON 3110	MATH 1106 or MATH 1110.	COURSE(MATH 1106) OR COURSE(MATH 1110)	OK
ECON 3120	ECON 3110 or ECON 3130.	COURSE(ECON 3110) OR COURSE(ECON 3130)	OK
ECON 3130	MATH 1110 - MATH 1120 and ECON 1110 or ECON 1120.	COURSE(MATH 1110) AND COURSE(MATH 1120) AND LPAREN COURSE(ECON 1110) OR COURSE(ECON 1120) RPAREN	OK (manually corrected)
ECON 3250	PUBPOL 2000 or equivalent and PUBPOL 3100 or equivalent.	COURSE(PUBPOL 2000) AND COURSE(PUBPOL 3100)	OK (manually corrected)
ECON 3300	ECON 1110 and ECON 1120.	COURSE(ECON 1110) AND COURSE(ECON 1120)	OK
ECON 3545	ECON 3040 and ECON 3120 or ECON 3140 or equivalent.	COURSE(ECON 3040) AND LPAREN COURSE(ECON 3120) OR COURSE(ECON 3140) RPAREN	OK (manually corrected)
ECON 3610	PUBPOL 2000 (or equivalent) or with instructor permission.	COURSE(PUBPOL 2000)	OK (manually corrected)
ECON 3805	ECON 1110 or its equivalent.	COURSE(ECON 1110) OR COURSE(Special requirement: its equivalent)	OK
ECON 3850	ECON 1110.	COURSE(ECON 1110)	OK
ECON 3855	microeconomics course.	COURSE(Special requirement: microeconomics course)	OK
ECON 3910	introductory microeconomics and statistics or permission of instructor.	LPAREN COURSE(Special requirement: introductory microeconomics) AND COURSE(Special requirement: statistics) RPAREN OR COURSE(Permission: permission of instructor)	OK
ECON 4140	ECON 3140 or equivalent.	COURSE(ECON 3140)	OK
ECON 4290	ECON 3030, ECON 3040, and ECON 3110, or ECON 3130.	LPAREN COURSE(ECON 3030) AND COURSE(ECON 3040) AND COURSE(ECON 3110) RPAREN OR COURSE(ECON 3130)	OK (manually corrected)
ECON 4410	ECON 3030, ECON 3140 or permission of instructor.	LPAREN COURSE(ECON 3030) OR COURSE(ECON 3140) RPAREN OR COURSE(Permission: permission of instructor)	OK
ECON 4660	ECON 3030 or equivalent.	COURSE(ECON 3030)	OK
ECON 4903	ECON 3110 and ECON 3120, or equivalents.	COURSE(ECON 3110) AND COURSE(ECON 3120)	OK
EDUC 4826	EDUC 2610 or permission of instructor.	LPAREN COURSE(EDUC 2610) RPAREN OR COURSE(Permission: permission of instructor)	OK
EDUC 4980	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
EDUC 4990	GPA of at least 2.7.	COURSE(Special requirement: GPA of at least 2.7)	OK (manually corrected)
ENGL 2800	completion of a First-Year Writing Seminar (FWS) course.	COURSE(Special requirement: a First-Year Writing Seminar) LPAREN COURSE(Special requirement: FWS) RPAREN COURSE(Special requirement: course)	OK
ENGL 2880	completion of First-Year Writing Seminar requirement or permission of the instructor.	LPAREN COURSE(Special requirement: First-Year Writing Seminar requirement) RPAREN OR COURSE(Permission: permission of the instructor)	OK
ENGL 3820	ENGL 2800.	COURSE(ENGL 2800)	OK
ENGL 3840	ENGL 2800.	COURSE(ENGL 2800)	OK
ENGL 4800	ENGL 3840 is strongly recommended.	COURSE(ENGL 3840)	OK
ENGL 4801	Recommended prerequisite: ENGL 3820.	COURSE(ENGL 3820)	OK
ENGRC 3025	completed internship, professional experience, or significant undergraduate research; familiarity with HTML, CSS, and/or website development.	LPAREN COURSE(Special requirement: completed internship) OR COURSE(Special requirement: professional experience) OR COURSE(Special requirement: significant undergraduate research) RPAREN AND COURSE(Special requirement: familiarity with HTML/CSS/website development)	OK (manually corrected)
ENGRC 3026	two First-Year Writing Seminars and major affiliation.	COURSE(Special requirement: two First-Year Writing Seminars) AND COURSE(Special requirement: major affiliation)	OK
ENGRC 3341	two (2) First-Year Writing Seminars and major affiliation.	LPAREN COURSE(Special requirement: First-Year Writing Seminars) AND COURSE(Special requirement: major affiliation)	OK
ENGRC 3350	two First-Year Writing Seminars and major affiliation.	COURSE(Special requirement: two First-Year Writing Seminars) AND COURSE(Special requirement: major affiliation)	OK
ENGRC 3500	two (2) First-Year Writing Seminars and major affiliation.	LPAREN COURSE(Special requirement: First-Year Writing Seminars) AND COURSE(Special requirement: major affiliation)	OK
ENGRD 2020	PHYS 1112. Corequisite: MATH 1920.	COURSE(PHYS 1112)	OK
ENGRD 2100	MATH 1920 or PHYS 1112. Corequisite: MATH 2930 or PHYS 2213.	COURSE(MATH 1920) OR COURSE(PHYS 1112)	OK
ENGRD 2110	CS 1110 or CS 1112 or equivalent course on programming in a procedural language.	COURSE(CS 1110) OR COURSE(CS 1112) OR COURSE(Special requirement: course on programming in a procedural language)	OK
ENGRD 2111	CHEM 2090, MATH 1920, and BIOG 1350 or BIOG 1440.	COURSE(CHEM 2090) AND COURSE(MATH 1920) AND LPAREN COURSE(BIOG 1350) OR COURSE(BIOG 1440) RPAREN	OK (manually corrected)
ENGRD 2112	excellent performance in CS 1110, CS 1112 or equivalent course in Java or C++, or permission of instructor.	LPAREN COURSE(CS 1110) OR COURSE(CS 1112) OR COURSE(Special requirement: course in Java) OR COURSE(Special requirement: C++) RPAREN OR COURSE(Permission: permission of instructor)	OK
ENGRD 2190	CHEM 2080, CHEM 2070 or CHEM 2090, and an ENGRI course.	LPAREN COURSE(CHEM 2080) OR COURSE(CHEM 2070) OR COURSE(CHEM 2090) RPAREN AND COURSE(Special requirement: an ENGRI course)	OK (manually corrected)
ENGRD 2210	MATH 1920 and PHYS 1112.	COURSE(MATH 1920) AND COURSE(PHYS 1112)	OK
ENGRD 2250	MATH 1110 or MATH 1910.	COURSE(MATH 1110) OR COURSE(MATH 1910)	OK
ENGRD 2300	CS 1110 or CS 1112.	COURSE(CS 1110) OR COURSE(CS 1112)	OK
ENGRD 2510	CHEM 2070 or CHEM 2090 or AP Chem. Prerequisite or corequisite: MATH 2930.	COURSE(CHEM 2070) OR COURSE(CHEM 2090) OR COURSE(Special requirement: AP Chem)	OK
ENGRD 2600	Prerequisite or corequisite: MATH 2930, two semesters of core biology major classes (BIOMG 1350, BIOG 1440, BIOG 1445 or BIOEE 1610) plus BIOG 1500.	COURSE(MATH 2930) OR COURSE(Special requirement: two semesters of core biology major classes) LPAREN COURSE(BIOMG 1350) OR COURSE(BIOG 1440) OR COURSE(BIOG 1445) OR COURSE(BIOEE 1610) RPAREN COURSE(BIOG 1500)	OK
ENGRD 2610	PHYS 1112 or PHYS 1117.	COURSE(PHYS 1112) OR COURSE(PHYS 1117)	OK
ENGRD 2700	MATH 1910, MATH 1920.	COURSE(MATH 1910) AND COURSE(MATH 1920)	OK
ENGRD 2720	MATH 1920 and either CS 1110 or CS 1112. Corequisite: MATH 2940.	COURSE(MATH 1920) AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN	OK (manually corrected)
ENGRG 1152	ENGRG 1050 or permission of instructor.	LPAREN COURSE(ENGRG 1050) RPAREN OR COURSE(Permission: permission of instructor)	OK
ENGRG 3400	ENGRG 1400.	COURSE(ENGRG 1400)	OK
ENGRG 4400	ENGRG 1400, ENGRG 3400.	COURSE(ENGRG 1400) AND COURSE(ENGRG 3400)	OK
ENGRG 4998	intended for undergraduates in engineering majors who require work authorization for an employer other than Cornell.	COURSE(Special requirement: intended for undergraduates in engineering majors who require work authorization for an employer other than Cornell)	OK
ENGRI 1140	knowledge of Calculus, Physics, and Chemistry at the high school level.	COURSE(Special requirement: high school calculus/physics/chemistry)	OK (manually corrected)
ENMGT 5200	CEE 3040 or ENGRD 2700, CEE 3230 or ENMGT 5940.	COURSE(CEE 3040) OR COURSE(ENGRD 2700) OR COURSE(CEE 3230) OR COURSE(ENMGT 5940)	OK
ENMGT 5930	CEE 3040 or equivalent.	COURSE(CEE 3040)	OK
ENMGT 5980	at least one of the following courses: CEE 3040, ENGRD 2700, ILRST 2100, BTRY 3010, AEM 2100, or equivalent.	COURSE(CEE 3040) OR COURSE(ENGRD 2700) OR COURSE(ILRST 2100) OR COURSE(BTRY 3010) OR COURSE(AEM 2100)	OK
ENTOM 2120	one semester of college biology or permission of instructor.	LPAREN COURSE(Special requirement: one semester of college biology) RPAREN OR COURSE(Permission: permission of instructor)	OK
ENTOM 3310	ENTOM 2120. Corequisite: ENTOM 3311.	COURSE(ENTOM 2120)	OK
ENTOM 3311	ENTOM 2120.	COURSE(ENTOM 2120)	OK
ENTOM 3350	one college-level biology course.	COURSE(Special requirement: one college-level biology course)	OK
ENTOM 3360	ENTOM 3350.	COURSE(ENTOM 3350)	OK
ENTOM 3410	college course in introductory biological sciences.	COURSE(Special requirement: college course in introductory biological sciences)	OK
ENTOM 3630	BIOMG 1350 or BIOG 1440 or BIOG 1445 or permission of instructor.	LPAREN COURSE(BIOMG 1350) OR COURSE(BIOG 1440) OR COURSE(BIOG 1445) RPAREN OR COURSE(Permission: permission of instructor)	OK
ENVS 2100	one introductory college biology course.	COURSE(Special requirement: one introductory college biology course)	OK
ENVS 2500	ECON 1110.	COURSE(ECON 1110)	OK
ENVS 3020	at least one of the following: a studio art class or a college-level biology class or a visual studies class or an environment and sustainability class or permission of instructor.	COURSE(Special requirement: a studio art class)	OK
ENVS 4980	previous enrollment in course to be taught, or equivalent and permission of instructor.	COURSE(Special requirement: previous enrollment in course to be taught) AND COURSE(Permission: permission of instructor)	OK
FDSC 2000	college-level courses in general chemistry and biology; organic chemistry or concurrent registration.	COURSE(Special requirement: college-level general chemistry) AND COURSE(Special requirement: biology) AND LPAREN COURSE(Special requirement: organic chemistry) OR COURSE(Special requirement: concurrent registration) RPAREN	OK (manually corrected)
FDSC 2205	VIEN 1105. Prerequisite or Corequisite: VIEN 2204.	COURSE(VIEN 1105)	OK
FDSC 2310	introductory biology and chemistry, or permission of instructor.	LPAREN COURSE(Special requirement: introductory biology) AND COURSE(Special requirement: chemistry) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 3940	BIOMI 2900 and BIOMI 2911.	COURSE(BIOMI 2900) AND COURSE(BIOMI 2911)	OK
FDSC 3950	BIOMI 2911 or equivalent.	COURSE(BIOMI 2911)	OK
FDSC 4010	FDSC 3940, FDSC 4170, and FDSC 4210 or permission of instructor.	LPAREN COURSE(FDSC 3940) AND COURSE(FDSC 4170) AND COURSE(FDSC 4210) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 4050	general chemistry (CHEM 1560, CHEM 2070, and/or CHEM 2080), organic chemistry (CHEM 1570, CHEM 3570, and/or CHEM 3580), and Food Chemistry I (FDSC 4170).	LPAREN COURSE(CHEM 1560) OR COURSE(CHEM 2070) OR COURSE(CHEM 2080) RPAREN AND LPAREN COURSE(CHEM 1570) OR COURSE(CHEM 3570) OR COURSE(CHEM 3580) RPAREN AND COURSE(FDSC 4170)	OK (manually corrected)
FDSC 4100	statistics course.	COURSE(Special requirement: statistics course)	OK
FDSC 4210	FDSC 2000 and introductory physics.	COURSE(FDSC 2000) AND COURSE(Special requirement: introductory physics)	OK
FDSC 4230	FDSC 4210.	COURSE(FDSC 4210)	OK
FDSC 4240	FDSC 4210.	COURSE(FDSC 4210)	OK
FDSC 4310	VIEN 2204 and VIEN 2205/FDSC 2205.	COURSE(VIEN 2204) AND LPAREN COURSE(VIEN 2205) OR COURSE(FDSC 2205) RPAREN	OK (manually corrected)
FDSC 4400	at least one semester of general chemistry and one semester of organic chemistry. Recommended prerequisite: prior course work in or knowledge of viticulture and enology.	COURSE(Special requirement: one semester of general chemistry) OR COURSE(Special requirement: one semester of organic chemistry)	OK (manually corrected)
FDSC 4500	VIEN 2204, VIEN 2205, VIEN 2400, and BIOMI 2900, or permission of instructor.	LPAREN COURSE(VIEN 2204) AND COURSE(VIEN 2205) AND COURSE(VIEN 2400) AND COURSE(BIOMI 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 4510	Prerequisite or corequisite: FDSC 4500/VIEN 4500.	COURSE(FDSC 4500) OR COURSE(VIEN 4500)	OK
FDSC 5010	FDSC 3940, FDSC 4170, and FDSC 4210 or permission of instructor.	LPAREN COURSE(FDSC 3940) AND COURSE(FDSC 4170) AND COURSE(FDSC 4210) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 5050	general chemistry (CHEM 1560, CHEM 2070, and/or CHEM 2080), organic chemistry (CHEM 1570, CHEM 3570, and/or CHEM 3580), and Food Chemistry I (FDSC 4170).	LPAREN COURSE(CHEM 1560) OR COURSE(CHEM 2070) OR COURSE(CHEM 2080) RPAREN AND LPAREN COURSE(CHEM 1570) OR COURSE(CHEM 3570) OR COURSE(CHEM 3580) RPAREN AND COURSE(FDSC 4170)	OK (manually corrected)
FDSC 5100	statistics course.	COURSE(Special requirement: statistics course)	OK
FDSC 5210	FDSC 2000 and introductory physics.	COURSE(FDSC 2000) AND COURSE(Special requirement: introductory physics)	OK
FDSC 5230	FDSC 4210.	COURSE(FDSC 4210)	OK
FDSC 5310	introductory biology and chemistry, or permission of instructor.	LPAREN COURSE(Special requirement: introductory biology) AND COURSE(Special requirement: chemistry) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 5500	VIEN 2204, VIEN 2205, VIEN 2400, and BIOMI 2900, or permission of instructor.	LPAREN COURSE(VIEN 2204) AND COURSE(VIEN 2205) AND COURSE(VIEN 2400) AND COURSE(BIOMI 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK
FDSC 5510	Prerequisite or corequisite: FDSC 5500/VIEN 5500.	COURSE(FDSC 5500) OR COURSE(VIEN 5500)	OK
FDSC 5940	BIOMI 2900 and BIOMI 2911.	COURSE(BIOMI 2900) AND COURSE(BIOMI 2911)	OK
FGSS 3990	FGSS 2010 or FGSS 3000, and one additional 3000-level FGSS course.	LPAREN COURSE(FGSS 2010) OR COURSE(FGSS 3000) RPAREN AND COURSE(Special requirement: one additional 3000-level FGSS course)	OK (manually corrected)
FREN 1220	FREN 1210 or LPF score of 37-44 or SAT II 410-480.	COURSE(FREN 1210) OR COURSE(Special requirement: LPF score of 37-44) OR COURSE(Special requirement: SAT II 410-480)	OK
FREN 1230	FREN 1220 or an LPF score of 45-55 or SAT II 490-590.	COURSE(FREN 1220) OR COURSE(Special requirement: an LPF score of 45-55) OR COURSE(Special requirement: SAT II 490-590)	OK
FREN 2090	FREN 1230, LPF score 56-64, or SAT II 600-680 or AP French language 4, or CASE Q.	COURSE(FREN 1230) OR COURSE(Special requirement: LPF score 56-64) OR COURSE(Special requirement: SAT II 600-680) OR COURSE(Special requirement: AP French language 4) OR COURSE(Special requirement: CASE Q)	OK
FREN 2092	FREN 2070, FREN 2080, or FREN 2090 or higher, or CASE Q+.	COURSE(FREN 2070) OR COURSE(FREN 2080) OR COURSE(FREN 2090) OR COURSE(Special requirement: higher) OR COURSE(Special requirement: CASE Q+)	OK
FREN 2095	FREN 2070, FREN 2080, or FREN 2090 or CASE Q+.	COURSE(FREN 2070) OR COURSE(FREN 2080) OR COURSE(FREN 2090) OR COURSE(Special requirement: CASE Q+)	OK
FREN 2180	FREN 2095 or CASE Q++ or permission of instructor required.	LPAREN COURSE(FREN 2095) OR COURSE(Special requirement: CASE Q++) RPAREN OR COURSE(Permission: permission of instructor required)	OK
FREN 2310	FREN 2095 or CASE Q++ or permission of instructor required.	LPAREN COURSE(FREN 2095) OR COURSE(Special requirement: CASE Q++) RPAREN OR COURSE(Permission: permission of instructor required)	OK
FREN 3270	FREN 2310 or CASE Q++ or permission of instructor.	LPAREN COURSE(FREN 2310) OR COURSE(Special requirement: CASE Q++) RPAREN OR COURSE(Permission: permission of instructor)	OK
FREN 3460	FREN 2310 or CASE Q++ or permission of instructor required.	LPAREN COURSE(FREN 2310) OR COURSE(Special requirement: CASE Q++) RPAREN OR COURSE(Permission: permission of instructor required)	OK
FREN 3535	FREN 2310 or permission of instructor.	LPAREN COURSE(FREN 2310) RPAREN OR COURSE(Permission: permission of instructor)	OK
FSAD 1170	demonstrated skill at drawing.	COURSE(Special requirement: demonstrated skill at drawing)	OK
FSAD 2370	FSAD 1350 or permisson of instructor.	COURSE(FSAD 1350) OR COURSE(Special requirement: permisson of instructor)	OK
FSAD 2650	FSAD 1450, and FSAD 1140 or FSAD 1250.	COURSE(FSAD 1450) AND LPAREN COURSE(FSAD 1140) OR COURSE(FSAD 1250) RPAREN	OK (manually corrected)
FSAD 3250	Recommended prerequisite: FSAD 1140 and FSAD 1350.	COURSE(FSAD 1140) AND COURSE(FSAD 1350)	OK
FSAD 3350	college basic chemistry and physics courses.	COURSE(Special requirement: college basic chemistry) AND COURSE(Special requirement: physics courses)	OK
FSAD 3770	FSAD 1170.	COURSE(FSAD 1170)	OK
FSAD 4370	FSAD 3370.	COURSE(FSAD 3370)	OK
FSAD 4460	FSAD 1350 and FSAD 1360 and FSAD 3350, or ENGRI 1200/AEP 1200, or MSE 2610 or MSE 3010, or equivalent.	LPAREN COURSE(FSAD 1350) AND COURSE(FSAD 1360) AND COURSE(FSAD 3350) RPAREN OR COURSE(ENGRI 1200) OR COURSE(AEP 1200) OR COURSE(MSE 2610) OR COURSE(MSE 3010)	OK (manually corrected)
FSAD 4660	FSAD 1360 and FSAD 2370.	COURSE(FSAD 1360) AND COURSE(FSAD 2370)	OK
FSAD 4770	FSAD 3770.	COURSE(FSAD 3770)	OK
